id,name,price,brand,count
1,Carbidopa and Levodopa,20363298,Realmix,95
2,ZOFRAN,7779453,Eidel,27
3,Ondansetron,14354972,Edgewire,6
4,Mestinon,36972222,Tagchat,5
5,sunmark nasal,8195292,Jabbersphere,42
6,Aloe Up,9648186,Fivechat,64
7,Thioridazine Hydrochloride,35714239,Wordify,57
8,Antibacterial Hand Icy Mint,15202549,Quamba,26
9,Theratramadol-60,23539882,Mynte,74
10,Leuprolide Acetate,3326576,Fliptune,90
11,Hourglass Illusion Tinted Moisturizer Warm Beige,23779981,Trudoo,68
12,Ibuprofen,29017584,Quinu,78
13,CC SPF 18,32783652,Browseblab,19
14,Bupropion Hydrocloride,4634892,Chatterbridge,56
15,Calendula,36003542,Riffpath,87
16,topcare hemorrhoidal,35835271,Reallinks,29
17,Metoprolol Tartrate,26339071,Realpoint,18
18,"cocoa butter, phenylephrine hydrochloride, shark liver oil",16711075,Blogpad,62
19,Repara Silver Nitrate,16320231,Wordtune,40
20,rizatriptan benzoate,30069994,Feedfish,40
21,Risperidone,12058037,Vinder,46
22,Nutropin AQ NuSpin 10,21965061,Yoveo,97
23,Fruit Smoothies,19700610,Lajo,71
24,Gengraf,5768996,Demimbu,54
25,Triple Antibiotic,24639380,Bluezoom,44
26,Standardized Meadow Fescue Grass,15056318,Skynoodle,88
27,Intralipid,37414200,Realcube,81
28,Metformin Hydrochloride,4854152,Eamia,99
29,Digoxin,7822564,Aimbo,23
30,Pentoxifylline,7733316,Zoombeat,37
31,Etodolac,11464164,Mybuzz,32
32,Fentanyl,28624855,Digitube,55
33,Clopidogrel,5769774,Mynte,3
34,Neutrogena Spectrum Plus Advanced,27612991,Photolist,97
35,ibuprofen,30181279,Eadel,3
36,Citrus Cydonia 3,19793287,Feedspan,74
37,AVONEX,29415593,Kwideo,11
38,Mellow Instant Hand Sanitizer Original,3658974,Abata,65
39,SHOPKO ORIGINAL NASAL,9866081,Youtags,34
40,berkley and jensen acid reducer,37451262,Yambee,95
41,BHI Arthritis,17412526,Jaxspan,48
42,Nifedipine,16726412,Minyx,92
43,ZYRTEC,5174944,Edgewire,97
44,calcium antacid,24808947,Skibox,91
45,ANTIBACTERIAL,24012847,Wikizz,84
46,DR. IASO VITA WHITE,13568652,Skivee,82
47,Wheat Bunt,20722298,Flashpoint,99
48,healthy accents multi symptom cold,11140946,Realcube,7
49,Naturasil,31620099,Myworks,61
50,Nitrogen,26109568,Myworks,29
51,Jane Seymour Natural Advantage,30234679,Abatz,30
52,valacyclovir hydrochloride,11558980,Feedfish,34
53,Bronkids,38093715,Zoonder,88
54,equaline antacid,22362218,Meevee,92
55,Equate Face,14730858,Mybuzz,24
56,Witch Hazel,12392069,Topiclounge,41
57,Viscum Mali,6628777,Photobean,96
58,soCALM Pain Relieving,8839948,Edgeclub,20
59,Famciclovir,10710189,DabZ,9
60,VERELAN,38935258,Jabberstorm,58
61,Effervescent Pain Relief,16990976,Snaptags,3
62,ALLEROFF,32636821,Yodo,89
63,Flu Relief,12159198,Photolist,69
64,Metoprolol Tartrate,19627255,Edgeblab,60
65,Bassia Pollen,17074200,Wordpedia,47
66,AIR COMPRESSED,36381539,Browsedrive,23
67,Epi-Clenz Instant Hand Antiseptic,23274889,Topicblab,76
68,Losartan Potassium,19826069,Twitterbeat,74
69,HAWAIIAN TROPIC,9413931,Voonte,44
70,LBEL EFFET PARFAIT Polvos Compactos de Larga Duracion para rostro FPS 15 /Long Lasting Compact SPF 15,20864888,Quimm,95
71,Eczema Relief,32017949,Yakidoo,60
72,NICARdipine Hydrochloride,34018410,Eare,47
73,Advanced Arnica,31348612,Photobug,19
74,TOPIRAMATE,19727156,Divavu,55
75,Dove,21757400,Buzzdog,37
76,ED A-HIST,31266433,Realfire,96
77,Bodycology,30543241,JumpXS,52
78,Cyproheptadine Hydrochloride,13067277,Abata,100
79,Furosemide,34153237,Ntag,24
80,AZITHROMYCIN,12310039,InnoZ,68
81,Permethrin,13620506,Skiba,93
82,Natures Gate,37862679,Photospace,59
83,VITALUMIERE,30321936,Avavee,85
84,Clonazepam,34678663,Realbridge,6
85,Atovaquone and Proguanil Hydrochloride,5812143,Eamia,69
86,Ketalar,33263925,InnoZ,34
87,Clinical Works Pink Grapefruit Waterless Hand Sanitizer,31726046,Realfire,67
88,Cardizem LA,37457419,Youspan,97
89,FNG,28155521,Devpoint,61
90,CYCLOBENZAPRINE HYROCHLORIDE,37511845,Gabvine,3
91,Cefuroxime Axetil,6036239,Tanoodle,14
92,Oxygen,32671424,Yotz,1
93,ProcureTriple Antibiotic,11638444,Mymm,8
94,Fluoxetine,20106570,Yakijo,29
95,Estradiol,20225133,Meetz,55
96,Pear,13207582,Yacero,10
97,Etodolac,37088970,Voonix,61
98,Propranolol Hydrochloride,18575667,Eabox,93
99,Miracle Plus Neck and Shoulder Pain Relief,15456597,Blogtag,56
100,COLCHICUM AUTUMNALE,39029484,Podcat,100
